Sample Name,MO (g dm3),P (mg dm3),K (cmol dm3),Cu (mg dm3),Fe (mgdm3),Zn (mgdm3),Mn (mgdm3),pH (CaCl2),Al (cmol dm3),Ca (cmol dm3),Mg (cmol dm3)
Amostra 640  ,"37,53","1,30","0,18","0,00","0,00","0,00","0,00","5,90","0,00","8,00","1,10"
Amostra 641  ,"38,87","0,65","0,80","0,00","0,00","0,00","0,00","5,60","0,00","7,60","0,90"
Amostra 642  ,"18,76","0,32","0,11","0,00","0,00","0,00","0,00","5,80","0,00","6,20","0,80"
Amostra 643  ,"48,25","4,08","0,32","0,00","0,00","0,00","0,00","6,10","0,00","11,50","1,70"
Amostra 644  ,"37,53","1,64","0,19","0,00","0,00","0,00","0,00","5,80","0,00","8,50","1,70"
Amostra 645  ,"40,21","0,65","0,15","0,00","0,00","0,00","0,00","5,80","0,00","9,50","1,50"
Amostra 646  ,"18,76","0,32","0,09","0,00","0,00","0,00","0,00","6,20","0,00","6,70","1,20"
Amostra 647  ,"58,97","4,82","1,54","0,00","0,00","0,00","0,00","6,20","0,00","10,50","1,60"
Amostra 648  ,"41,55","4,82","0,69","0,00","0,00","0,00","0,00","5,40","0,00","8,70","1,40"
Amostra 649  ,"29,48","1,30","0,55","0,00","0,00","0,00","0,00","5,40","0,00","7,50","1,50"
Amostra 650  ,"18,76","1,30","0,27","0,00","0,00","0,00","0,00","5,70","0,00","7,30","1,70"
Amostra 651  ,"71,03","10,05","1,10","0,00","0,00","0,00","0,00","5,80","0,00","10,80","1,60"
Amostra 652  ,"50,93","5,95","1,07","0,00","0,00","0,00","0,00","5,30","0,00","8,50","1,40"
Amostra 653  ,"45,57","3,01","0,83","0,00","0,00","0,00","0,00","5,10","0,00","7,60","1,20"
Amostra 654  ,"25,46","0,97","0,61","0,00","0,00","0,00","0,00","5,70","0,00","7,20","1,20"
Amostra 655  ,"54,95","10,94","0,47","0,00","0,00","0,00","0,00","5,60","0,00","7,60","1,30"
Amostra 656  ,"48,25","5,19","0,28","0,00","0,00","0,00","0,00","5,30","0,00","6,80","0,90"
Amostra 657  ,"41,55","1,64","0,17","0,00","0,00","0,00","0,00","5,50","0,00","8,90","1,20"
Amostra 658  ,"18,76","1,30","0,11","0,00","0,00","0,00","0,00","6,20","0,00","7,60","1,20"
